Program,Size,Time
clBLAS ,1024 x 1024,0.0608506666666667
Optimized OpenCL  ,1024 x 1024,0.0167748333333333
OpenCL ,1024 x 1024,0.1221175
Generic allpairs skeleton  ,1024 x 1024,0.120666666666667
Allpairs skeleton with zip-reduce  ,1024 x 1024,0.0241666666666667
CUBLAS ,1024 x 1024,0.0115611666666667

clBLAS ,2048 x 2048,0.24593225
Optimized OpenCL  ,2048 x 2048,0.105411666666667
OpenCL ,2048 x 2048,0.791434083333333
Generic allpairs skeleton  ,2048 x 2048,0.7920
Allpairs skeleton with zip-reduce  ,2048 x 2048,0.155833333333333
CUBLAS ,2048 x 2048,0.05932875

clBLAS ,4096 x 4096,1.56389483333333
Optimized OpenCL  ,4096 x 4096,0.751569166666667
OpenCL ,4096 x 4096,5.7777425
Generic allpairs skeleton  ,4096 x 4096,5.78208333333333
Allpairs skeleton with zip-reduce  ,4096 x 4096,1.13391666666667
CUBLAS ,4096 x 4096,0.38711625

clBLAS ,8192 x 8192,11.6148170833333
Optimized OpenCL  ,8192 x 8192,5.683296
OpenCL ,8192 x 8192,48.6921146666667
Generic allpairs skeleton  ,8192 x 8192,48.64525
Allpairs skeleton with zip-reduce  ,8192 x 8192,8.74191666666667
CUBLAS ,8192 x 8192,2.86329508333333

clBLAS ,16384 x 16384,90.70480475
Optimized OpenCL  ,16384 x 16384,51.337687
OpenCL ,16384 x 16384,472.556993
Generic allpairs skeleton  ,16384 x 16384,471.234666666667
Allpairs skeleton with zip-reduce  ,16384 x 16384,68.5438333333333
CUBLAS ,16384 x 16384,22.0673179166667
