Devices; Radius; value
1 Device;  1; 1
1 Device;  2; 1
1 Device;  3; 1
1 Device;  4; 1
1 Device;  5; 1
1 Device;  6; 1
1 Device;  7; 1
1 Device;  8; 1
1 Device;  9; 1
1 Device; 10; 1
1 Device; 11; 1
1 Device; 12; 1
1 Device; 13; 1
1 Device; 14; 1
1 Device; 15; 1
1 Device; 16; 1
1 Device; 17; 1
1 Device; 18; 1
1 Device; 19; 1
1 Device; 20; 1
2 Devices;  1; 0.75
2 Devices;  2; 0.84
2 Devices;  3; 0.99
2 Devices;  4; 1.13
2 Devices;  5; 1.24
2 Devices;  6; 1.38
2 Devices;  7; 1.48
2 Devices;  8; 1.56
2 Devices;  9; 1.63
2 Devices; 10; 1.69
2 Devices; 11; 1.73
2 Devices; 12; 1.77
2 Devices; 13; 1.79
2 Devices; 14; 1.81
2 Devices; 15; 1.84
2 Devices; 16; 1.85
2 Devices; 17; 1.87
2 Devices; 18; 1.88
2 Devices; 19; 1.88
2 Devices; 20; 1.90
3 Devices;  1; 0.71
3 Devices;  2; 0.84
3 Devices;  3; 1.02
3 Devices;  4; 1.23
3 Devices;  5; 1.43
3 Devices;  6; 1.63
3 Devices;  7; 1.80
3 Devices;  8; 1.95
3 Devices;  9; 2.07
3 Devices; 10; 2.20
3 Devices; 11; 2.27
3 Devices; 12; 2.36
3 Devices; 13; 2.41
3 Devices; 14; 2.48
3 Devices; 15; 2.51
3 Devices; 16; 2.56
3 Devices; 17; 2.58
3 Devices; 18; 2.62
3 Devices; 19; 2.64
3 Devices; 20; 2.66
4 Devices;  1; 0.67
4 Devices;  2; 0.83
4 Devices;  3; 0.98
4 Devices;  4; 1.28
4 Devices;  5; 1.46
4 Devices;  6; 1.76
4 Devices;  7; 1.97
4 Devices;  8; 2.19
4 Devices;  9; 2.36
4 Devices; 10; 2.55
4 Devices; 11; 2.67
4 Devices; 12; 2.82
4 Devices; 13; 2.89
4 Devices; 14; 2.98
4 Devices; 15; 3.08
4 Devices; 16; 3.15
4 Devices; 17; 3.21
4 Devices; 18; 3.25
4 Devices; 19; 3.31
4 Devices; 20; 3.34
