Date,Transistors,Clock Speed,Number of Cores,Name,Power
1971-11-1,2300,0.74,1,Intel 4004,0.5
1974-01-1,3000,0.74,1,Intel 4040,
1972-04-1,3500,0.5,1,Intel 8008,
1972-04-1,3500,0.8,1,Intel 8008-1,
1974-04-1,4500,2,1,Intel 8080,1
1974-04-1,4500,3,1,Intel 8080B,1
1976-04-1,6500,3,1,Intel 8085,1
1978-06-1,29000,5,1,Intel 8086,2
1978-06-1,29000,8,1,Intel 8086,2
1978-06-1,29000,10,1,Intel 8086,2
1979-06-1,29000,4.77,1,Intel 8088,2
1979-06-1,29000,8,1,Intel 8088,2
1982-01-1,55000,6,1,Intel 80186,3
1982-02-1,134000,6,1,Intel 80286,3
1982-02-1,134000,8,1,Intel 80286,3
1982-02-1,134000,10,1,Intel 80286,3
1982-02-1,134000,12.5,1,Intel 80286,3
1982-02-1,134000,16,1,Intel 80286,3
1982-02-1,134000,20,1,Intel 80286,3
1982-02-1,134000,25,1,Intel 80286,3
1985-10-1,275000,16,1,Intel 80386DX,2
1985-10-1,275000,20,1,Intel 80386DX,2
1985-10-1,275000,25,1,Intel 80386DX,3
1985-10-1,275000,33,1,Intel 80386DX,2
1988-06-1,275000,16,1,Intel 80386SX,
1989-01-1,275000,20,1,Intel 80386SX,
1989-01-1,275000,25,1,Intel 80386SX,
1992-10-1,275000,33,1,Intel 80386SX,
1990-10-1,855000,20,1,Intel 80386SL,
1991-09-1,855000,25,1,Intel 80386SL,
1989-04-1,1200000,25,1,Intel 80486DX,3
1990-05-1,1200000,33,1,Intel 80486DX,3
1991-06-1,1200000,50,1,Intel 80486DX,4
1991-04-1,1185000,16,1,Intel 80486SX,2
1991-09-1,1185000,20,1,Intel 80486SX,
1991-09-1,1185000,25,1,Intel 80486SX,2
1992-09-1,1185000,33,1,Intel 80486SX,2
1992-03-1,1185000,40,1,Intel 80486DX2,
1992-03-1,1185000,50,1,Intel 80486DX2,4
1992-03-1,1185000,66,1,Intel 80486DX2,4
1992-11-1,1400000,20,1,Intel 80486SL,
1992-11-1,1400000,25,1,Intel 80486SL,
1992-11-1,1400000,33,1,Intel 80486SL,
1994-03-1,1600000,75,1,Intel 80486DX4,
1994-03-1,1600000,100,1,Intel 80486DX4,4
1993-03-1,3100000,60,1,P5,
1993-03-1,3100000,66,1,P5,
1994-10-1,3200000,75,1,P54,8
1994-03-1,3200000,90,1,P54,9
1994-03-1,3200000,100,1,P54,10.1
1995-03-1,3200000,120,1,P54CQS,11.9
1995-06-1,3300000,133,1,P54CS,11.2
1996-01-1,3300000,150,1,P54CS,11.6
1996-01-1,3300000,166,1,P54CS,14.5
1996-06-1,3300000,200,1,P54CS,15.5
1997-01-1,4500000,166,1,P55C,13.1
1997-01-1,4500000,200,1,P55C,15.7
1997-06-1,4500000,233,1,P55C,17.9
1999-01-1,4500000,300,1,P55C,
1995-11-1,5500000,150,1,Pentium Pro,31.7
1995-11-1,5500000,166,1,Pentium Pro,35
1995-11-1,5500000,180,1,Pentium Pro,31.7
1995-11-1,5500000,200,1,Pentium Pro,44
1997-03-1,7500000,233,1,Pentium II,34.8
1997-03-1,7500000,266,1,Pentium II,38.2
1997-03-1,7500000,300,1,Pentium II,43
1998-01-1,7500000,333,1,Pentium II,20.6
1998-04-1,7500000,350,1,Pentium II,21.5
1998-04-1,7500000,400,1,Pentium II,24.3
1998-08-1,7500000,450,1,Pentium II,27.1
1998-08-1,19000000,300,1,Pentium II,  
1998-08-1,19000000,333,1,Pentium II,
1999-01-1,19000000,366,1,Pentium II,
1999-01-1,19000000,400,1,Pentium II,
1999-03-1,19000000,433,1,Pentium II,
1999-03-1,19000000,466,1,Pentium II,
1999-08-1,19000000,500,1,Pentium II,
2000-01-1,19000000,533,1,Pentium II,
1999-02-1,9500000,450,1,Pentium III,33.76
1999-02-1,9500000,500,1,Pentium III,37.52
1999-03-1,9500000,550,1,Pentium III,39.8
1999-08-1,9500000,600,1,Pentium III,42.76
1999-09-1,9500000,533,1,Pentium III,18.02
1999-09-1,9500000,600,1,Pentium III,22.05
1999-10-1,28100000,500,1,Pentium III,13.2
1999-10-1,28100000,533,1,Pentium III,14
1999-10-1,28100000,550,1,Pentium III,14.5
1999-10-1,28100000,600,1,Pentium III,15.8
1999-10-1,28100000,650,1,Pentium III,17
1999-10-1,28100000,667,1,Pentium III,17.5
1999-10-1,28100000,700,1,Pentium III,18.3
1999-10-1,28100000,733,1,Pentium III,19.1
1999-12-1,28100000,750,1,Pentium III,19.5
1999-12-1,28100000,800,1,Pentium III,20.8
2000-03-1,28100000,850,1,Pentium III,25.7
2000-03-1,28100000,866,1,Pentium III,22.9
2000-03-1,28100000,933,1,Pentium III,27.3
2000-03-1,28100000,1000,1,Pentium III,29
2000-03-1,28100000,1100,1,Pentium III,33
2000-03-1,28100000,1133,1,Pentium III,29.1
2001-06-1,28100000,1133,1,Pentium III,29.1
2001-06-1,28100000,1200,1,Pentium III,29.9
2001-06-1,28100000,1266,1,Pentium III,30.4
2001-06-1,28100000,1333,1,Pentium III,29.9
2001-06-1,28100000,1400,1,Pentium III,32.3
#2003-03-1,77000000,900,1,Pentium M,7
#2003-03-1,77000000,1000,1,Pentium M,7
